id_lieu,nom,categorie,requete_pexels_suggeree
osaka-castle,Château d'Osaka,Château,Château d'Osaka Japan
himeji-castle,Château de Himeji,Château,Château de Himeji Japan
nijo-castle,Château de Nijo,Château,Château de Nijo Japan
sumida-river,Croisière sur la Sumida,Croisière,Croisière sur la Sumida Japan
teamlab-borderless,Street Kart Shibuya,Expérience,Street Kart Shibuya Japan
kenroku-en,Jardin Kenroku-en,Jardin,Jardin Kenroku-en Japan
shukkeien,Jardin Shukkei-en,Jardin,Jardin Shukkei-en Japan
meiji-jingu-gyoen,Jardin intérieur du Meiji,Jardin,Jardin intérieur du Meiji Japan
shinjuku-gyoen,Shinjuku Gyoen,Jardin,Shinjuku Gyoen Japan
kuromon,Marché Kuromon,Marché,Marché Kuromon Japan
nishiki,Marché Nishiki,Marché,Marché Nishiki Japan
tsukiji,Marché extérieur de Tsukiji,Marché,Marché extérieur de Tsukiji Japan
ameyoko,Ameyoko,Marché de rue,Ameyoko Japan
tokyo-tower,Tokyo Tower,Monument,Tokyo Tower Japan
teamlab,teamLab Planets,Musée immersif,teamLab Planets Japan
teamlab-planets,teamLab Planets,Musée immersif,teamLab Planets Japan
arashiyama,Bambouseraie d'Arashiyama,Nature,Bambouseraie d'Arashiyama Japan
shibuya-sky,Shibuya Sky,Observatoire,Shibuya Sky Japan
nara-park,Parc de Nara,Parc,Parc de Nara Japan
ueno-park,Parc d'Ueno,Parc & musées,Parc d'Ueno Japan
shibuya-crossing,Carrefour de Shibuya,Quartier,Carrefour de Shibuya Japan
dotonbori,Dotonbori,Quartier,Dotonbori Japan
shimokitazawa,Shimokitazawa,Quartier bohème,Shimokitazawa Japan
ginza,Ginza,Quartier chic,Ginza Japan
higashi-chaya,Quartier Higashi Chaya,Quartier historique,Quartier Higashi Chaya Japan
gion,Quartier de Gion,Quartier historique,Quartier de Gion Japan
takayama-old-town,Vieille ville de Takayama,Quartier historique,Vieille ville de Takayama Japan
shinsekai,Shinsekai,Quartier rétro,Shinsekai Japan
yanaka-ginza,Yanaka Ginza,Quartier rétro,Yanaka Ginza Japan
nakamise,Nakamise-dori,Rue commerçante,Nakamise-dori Japan
takeshita-dori,Takeshita-dori,Rue commerçante,Takeshita-dori Japan
kappabashi,Kappabashi,Rue spécialisée,Kappabashi Japan
omoide-yokocho,Omoide Yokocho,Ruelle izakaya,Omoide Yokocho Japan
fushimi-inari,Fushimi Inari,Sanctuaire,Fushimi Inari Japan
